configurations,ipc,lifetime,energy
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.0-slow_latency_rate=4.0--benchmark=gups,0.23543,64.1817,20236553875
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.0-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.0-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.5-slow_latency_rate=4.0--benchmark=gups,0.23543,64.1817,20236553875
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.5-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=3.5-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=1.5--benchmark=gups,0.255471,8.3176,16993046620
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=1.5-normal_cancellation=true--benchmark=gups,0.260318,7.7192,17246345265
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=1.5-slow_cancellation=true--benchmark=gups,0.260318,7.7192,17246345265
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=2.0--benchmark=gups,0.252285,14.9735,17582634722
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=2.0-normal_cancellation=true--benchmark=gups,0.260614,13.522,17942317974
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=2.0-slow_cancellation=true--benchmark=gups,0.260614,13.522,17942317974
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=2.5--benchmark=gups,0.248895,23.7147,18172230253
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=2.5-normal_cancellation=true--benchmark=gups,0.260882,20.8187,18657122111
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=2.5-slow_cancellation=true--benchmark=gups,0.260882,20.8187,18657122111
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=3.0--benchmark=gups,0.245473,34.6251,19057295358
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=3.0-normal_cancellation=true--benchmark=gups,0.261228,29.2928,19774228321
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=3.0-slow_cancellation=true--benchmark=gups,0.261228,29.2928,19774228321
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=3.5--benchmark=gups,0.241026,47.9981,19627226209
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=3.5-normal_cancellation=true--benchmark=gups,0.261481,39.225,20528366692
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=3.5-slow_cancellation=true--benchmark=gups,0.261481,39.225,20528366692
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=4.0--benchmark=gups,0.23543,64.1817,20236553875
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.0-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=2.0--benchmark=gups,0.252285,14.9735,17582634722
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=2.0-normal_cancellation=true--benchmark=gups,0.260614,13.522,17942317974
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=2.0-slow_cancellation=true--benchmark=gups,0.260614,13.522,17942317974
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=2.5--benchmark=gups,0.248895,23.7147,18172230253
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=2.5-normal_cancellation=true--benchmark=gups,0.260882,20.8187,18657122111
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=2.5-slow_cancellation=true--benchmark=gups,0.260882,20.8187,18657122111
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=3.0--benchmark=gups,0.245473,34.6251,19057295358
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=3.0-normal_cancellation=true--benchmark=gups,0.261228,29.2928,19774228321
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=3.0-slow_cancellation=true--benchmark=gups,0.261228,29.2928,19774228321
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=3.5--benchmark=gups,0.241026,47.9981,19627226209
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=3.5-normal_cancellation=true--benchmark=gups,0.261481,39.225,20528366692
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=3.5-slow_cancellation=true--benchmark=gups,0.261481,39.225,20528366692
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=4.0--benchmark=gups,0.23543,64.1817,20236553875
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=1.5-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.0-slow_latency_rate=2.5--benchmark=gups,0.248895,23.7147,18172230253
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.0-slow_latency_rate=2.5-normal_cancellation=true--benchmark=gups,0.260882,20.8187,18657122111
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.0-slow_latency_rate=2.5-slow_cancellation=true--benchmark=gups,0.260882,20.8187,18657122111
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.0-slow_latency_rate=3.0--benchmark=gups,0.245473,34.6251,19057295358
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.0-slow_latency_rate=3.0-normal_cancellation=true--benchmark=gups,0.261228,29.2928,19774228321
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.0-slow_latency_rate=3.0-slow_cancellation=true--benchmark=gups,0.261228,29.2928,19774228321
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.0-slow_latency_rate=3.5--benchmark=gups,0.241026,47.9981,19627226209
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.0-slow_latency_rate=3.5-normal_cancellation=true--benchmark=gups,0.261481,39.225,20528366692
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.0-slow_latency_rate=3.5-slow_cancellation=true--benchmark=gups,0.261481,39.225,20528366692
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.0-slow_latency_rate=4.0--benchmark=gups,0.23543,64.1817,20236553875
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.0-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.0-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.5-slow_latency_rate=3.0--benchmark=gups,0.245473,34.6251,19057295358
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.5-slow_latency_rate=3.0-normal_cancellation=true--benchmark=gups,0.261228,29.2928,19774228321
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.5-slow_latency_rate=3.0-slow_cancellation=true--benchmark=gups,0.261228,29.2928,19774228321
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.5-slow_latency_rate=3.5--benchmark=gups,0.241026,47.9981,19627226209
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.5-slow_latency_rate=3.5-normal_cancellation=true--benchmark=gups,0.261481,39.225,20528366692
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.5-slow_latency_rate=3.5-slow_cancellation=true--benchmark=gups,0.261481,39.225,20528366692
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.5-slow_latency_rate=4.0--benchmark=gups,0.23543,64.1817,20236553875
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.5-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=2.5-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=3.0-slow_latency_rate=3.5--benchmark=gups,0.241026,47.9981,19627226209
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=3.0-slow_latency_rate=3.5-normal_cancellation=true--benchmark=gups,0.261481,39.225,20528366692
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=3.0-slow_latency_rate=3.5-slow_cancellation=true--benchmark=gups,0.261481,39.225,20528366692
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=3.0-slow_latency_rate=4.0--benchmark=gups,0.23543,64.1817,20236553875
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=3.0-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=3.0-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=3.5-slow_latency_rate=4.0--benchmark=gups,0.23543,64.1817,20236553875
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=3.5-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1--l3_eager_writeback--l3_dynamic_eager_wr_thrd=32-normal_latency_rate=3.5-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.261699,50.4949,21334469805
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=1.5--benchmark=gups,0.254843,8.3626,16980073465
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=1.5-normal_cancellation=true--benchmark=gups,0.260944,7.6452,17271273085
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=1.5-slow_cancellation=true--benchmark=gups,0.260944,7.6465,17271046532
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=2.0--benchmark=gups,0.251434,15.0684,17567921205
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=2.0-normal_cancellation=true--benchmark=gups,0.260945,13.5576,17898044089
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=2.0-slow_cancellation=true--benchmark=gups,0.260945,13.5617,17897821505
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=2.5--benchmark=gups,0.24794,23.8758,18155771650
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=2.5-normal_cancellation=true--benchmark=gups,0.261014,20.9262,18542846256
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=2.5-slow_cancellation=true--benchmark=gups,0.26101,20.9454,18542444379
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=3.0--benchmark=gups,0.244215,34.8727,19037906787
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=3.0-normal_cancellation=true--benchmark=gups,0.262099,26.7531,19852506421
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=3.0-slow_cancellation=true--benchmark=gups,0.262095,26.8582,19851182335
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=3.5--benchmark=gups,0.238193,48.6323,19605975029
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=3.5-normal_cancellation=true--benchmark=gups,0.261911,34.939,20520294273
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=3.5-slow_cancellation=true--benchmark=gups,0.261906,35.1348,20518936643
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=4.0--benchmark=gups,0.232705,63.2142,20205912223
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.262186,42.998,21200885185
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.0-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.262172,43.4397,21198920402
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=2.0--benchmark=gups,0.251434,15.0685,17567922451
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=2.0-normal_cancellation=true--benchmark=gups,0.260946,13.5974,17899236844
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=2.0-slow_cancellation=true--benchmark=gups,0.260941,13.5999,17898838921
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=2.5--benchmark=gups,0.24794,23.8761,18155772253
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=2.5-normal_cancellation=true--benchmark=gups,0.261016,21.097,18544931750
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=2.5-slow_cancellation=true--benchmark=gups,0.261004,21.1079,18544287185
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=3.0--benchmark=gups,0.244214,34.8937,19037997936
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=3.0-normal_cancellation=true--benchmark=gups,0.262103,27.9529,19860391995
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=3.0-slow_cancellation=true--benchmark=gups,0.262069,28.0212,19858148275
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=3.5--benchmark=gups,0.238193,48.6804,19606084562
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=3.5-normal_cancellation=true--benchmark=gups,0.261922,37.2193,20530620585
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=3.5-slow_cancellation=true--benchmark=gups,0.261885,37.3682,20527951510
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=4.0--benchmark=gups,0.232689,64.337,20207482691
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.262186,47.2602,21211972904
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=1.5-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.262129,47.5546,21208842958
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.0-slow_latency_rate=2.5--benchmark=gups,0.24794,23.8762,18155774368
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.0-slow_latency_rate=2.5-normal_cancellation=true--benchmark=gups,0.261017,21.1579,18546708950
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.0-slow_latency_rate=2.5-slow_cancellation=true--benchmark=gups,0.260995,21.1652,18545918334
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.0-slow_latency_rate=3.0--benchmark=gups,0.244214,34.9009,19038061908
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.0-slow_latency_rate=3.0-normal_cancellation=true--benchmark=gups,0.262108,28.4004,19868983411
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.0-slow_latency_rate=3.0-slow_cancellation=true--benchmark=gups,0.262034,28.4527,19865627729
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.0-slow_latency_rate=3.5--benchmark=gups,0.238194,48.6975,19606174766
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.0-slow_latency_rate=3.5-normal_cancellation=true--benchmark=gups,0.26192,38.1312,20539328789
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.0-slow_latency_rate=3.5-slow_cancellation=true--benchmark=gups,0.261835,38.2333,20535695702
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.0-slow_latency_rate=4.0--benchmark=gups,0.232673,64.725,20208438418
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.0-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.262191,48.9964,21219813467
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.0-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.262077,49.1924,21215990058
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.5-slow_latency_rate=3.0--benchmark=gups,0.244214,34.9045,19038130457
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.5-slow_latency_rate=3.0-normal_cancellation=true--benchmark=gups,0.262105,28.6204,19875341369
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.5-slow_latency_rate=3.0-slow_cancellation=true--benchmark=gups,0.261982,28.6675,19870705696
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.5-slow_latency_rate=3.5--benchmark=gups,0.238193,48.7056,19606264616
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.5-slow_latency_rate=3.5-normal_cancellation=true--benchmark=gups,0.261924,38.5637,20545921972
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.5-slow_latency_rate=3.5-slow_cancellation=true--benchmark=gups,0.261784,38.6541,20540964081
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.5-slow_latency_rate=4.0--benchmark=gups,0.232673,64.9205,20209670962
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.5-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.262193,49.816,21228471335
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=2.5-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.262017,49.9918,21222811803
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=3.0-slow_latency_rate=3.5--benchmark=gups,0.238192,48.7101,19606394301
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=3.0-slow_latency_rate=3.5-normal_cancellation=true--benchmark=gups,0.261926,38.8096,20557942815
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=3.0-slow_latency_rate=3.5-slow_cancellation=true--benchmark=gups,0.261756,38.9004,20549604810
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=3.0-slow_latency_rate=4.0--benchmark=gups,0.232679,65.0255,20211518731
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=3.0-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.2622,50.2689,21244462717
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=3.0-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.26198,50.4579,21234155738
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=3.5-slow_latency_rate=4.0--benchmark=gups,0.232659,65.0957,20212720854
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=3.5-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.262198,50.5829,21254847656
is_bank_aware=true-bank_aware_threshold=1-normal_latency_rate=3.5-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.261882,50.762,21241823418
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=1.5--benchmark=gups,0.2583,3.667,16195814726
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=1.5-normal_cancellation=true--benchmark=gups,0.260912,3.4076,16431862124
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=1.5-slow_cancellation=true--benchmark=gups,0.2583,3.667,16195814726
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=2.0--benchmark=gups,0.2583,3.667,16195814726
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=2.0-normal_cancellation=true--benchmark=gups,0.260912,3.4076,16431862124
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=2.0-slow_cancellation=true--benchmark=gups,0.2583,3.667,16195814726
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=2.5--benchmark=gups,0.2583,3.667,16195814726
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=2.5-normal_cancellation=true--benchmark=gups,0.260912,3.4076,16431862124
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=2.5-slow_cancellation=true--benchmark=gups,0.2583,3.667,16195814726
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=3.0--benchmark=gups,0.2583,3.667,16195814726
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=3.0-normal_cancellation=true--benchmark=gups,0.260912,3.4076,16431862124
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=3.0-slow_cancellation=true--benchmark=gups,0.2583,3.667,16195814726
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=3.5--benchmark=gups,0.2583,3.667,16195814726
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=3.5-normal_cancellation=true--benchmark=gups,0.260912,3.4076,16431862124
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=3.5-slow_cancellation=true--benchmark=gups,0.2583,3.667,16195814726
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=4.0--benchmark=gups,0.2583,3.667,16195814726
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=4.0-normal_cancellation=true--benchmark=gups,0.260912,3.4076,16431862124
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.0-slow_latency_rate=4.0-slow_cancellation=true--benchmark=gups,0.2583,3.667,16195814726
is_wear_quota=true-wear_quota_ratio=0.9-normal_latency_rate=1.5-slow_latency_rate=2.0--benchmark=gups,0.254843,8.3626,16980074593
